frame,accel_x_input,accel_x_given,accel_x_output,accel_x_simple_output,accel_y_input,accel_y_given,accel_y_output,accel_y_simple_output,accel_z_input,accel_z_given,accel_z_output,accel_z_simple_output,gyro_x_input,gyro_x_given,gyro_x_output,gyro_y_input,gyro_y_given,gyro_y_output,gyro_z_input,gyro_z_given,gyro_z_output
0,-0.5913086,-0.5965634,-0.50602764,-0.58162796,0.76171875,0.763303936,0.70413005,0.7727222,0.309082031,0.313128,0.38259685,0.31608704,0.00106422522,0.00106422522,0.012849612,-0.00106422522,-0.00134013547,-0.20024669,0.0,1.45984257e-06,0.06943282
1,-0.603027344,-0.597617447,-0.5125222,-0.5948015,0.764160156,0.763061,0.6815703,0.7731327,0.313476563,0.310918957,0.38619635,0.31692085,0.00106422522,0.00106422522,0.012849612,-0.00319267553,-0.00186567882,-0.20042722,0.0,0.00039340416,0.069508925
2,-0.5932617,-0.591783941,-0.5399248,-0.5805481,0.76171875,0.7644448,0.6795493,0.76986474,0.306152344,0.308717757,0.38232023,0.3149023,0.00106422522,0.00106422522,0.012858132,-0.00106422522,-0.00168611819,-0.20058878,0.00106422522,0.00106422522,0.06961269
3,-0.584472656,-0.592280865,-0.52935845,-0.5720951,0.7685547,0.7619764,0.67930347,0.777162,0.309082031,0.305054337,0.38205832,0.31036237,0.00106422522,0.00106422522,0.012858772,-0.00212845043,-0.00198100624,-0.20062765,0.0,0.000354741729,0.069609225
4,-0.600585938,-0.593423069,-0.5383985,-0.5844916,0.7529297,0.7580612,0.67828345,0.76013356,0.297363281,0.304972529,0.3829408,0.31088626,0.00106422522,0.00106422522,0.0127219595,-0.00212845043,-0.00207930245,-0.20035098,0.0,0.000118247241,0.06951047
5,-0.587402344,-0.593315542,-0.5396198,-0.5774924,0.759277344,0.7603368,0.67577225,0.76785326,0.3125,0.310967416,0.3786827,0.3162385,0.00106422522,0.00106422522,0.012542444,-0.00212845043,-0.00212845043,-0.2000645,0.0,0.000465546123,0.069749646
6,-0.5991211,-0.5994646,-0.54143554,-0.5882314,0.7636719,0.7615836,0.6765574,0.7779031,0.3154297,0.313128471,0.38096794,0.3191974,0.0,0.00106431264,0.012240111,0.0,-0.000709483458,-0.1994277,0.00106422522,0.00106422522,0.07022947
7,-0.605957031,-0.5984218,-0.5415682,-0.5922711,0.7607422,0.7624875,0.67672414,0.76476276,0.312988281,0.3135233,0.3820588,0.31857106,0.00106422522,0.00106422522,0.011971977,0.0,-0.000236494481,-0.1990719,0.00212845043,0.00212845043,0.07032441
8,-0.58984375,-0.596772134,-0.53960407,-0.58347964,0.7651367,0.762951553,0.68062335,0.7752555,0.314453125,0.315608025,0.38022116,0.31946322,-0.00106422522,-0.00106422522,0.011714184,0.0,-7.88314937e-05,-0.19875787,0.0,0.000709483458,0.069982566
9,-0.6020508,-0.5965478,-0.5403263,-0.5835571,0.761230469,0.7609904,0.68207973,0.7724222,0.318847656,0.3180933,0.38329062,0.32414773,0.0,-0.0009847159,0.011671154,0.0,0.00038750688,-0.1987139,0.0,0.000236494481,0.069603756
